Battle of the Bastards has the best sword fighting scenes I've seen since Braveheart #GameofThrones #SaturdaysWithoutFootball,ns
"I let my 9-year-old watch parts of @GameOfThrones. Daenerys, dragons, etc. (Yes, I censored the sex, nudity, and naughty bits.) 

She’s fascinated by Dany’s dragons (as am I!) and drew this for me today. LOVE. IT. 

#GOT #GameOfThrones ",ns
#GameOfThrones news: Star reveals 'incredible' White Walker secret 'It's spine-chilling' -   ,ns
"Arya and Tywin are a legendary combo. Some of the greatest scenes of season two. 

#GameOfThrones",ns
"Hyperfeminine Spider thinks Marsha should shut her #yell hole.

#tokerware #copaAmerica #gameofthrones #seagull ",ns
Funko reveals new #GameOfThrones Pops at Toy Fair 2018!  ,ns
" Win a #GameofThrones Gingers are Kissed by Fire Tormund Mug. Just follow &amp; RT/share with @competitionsC or sign-up here . Good luck! T's &amp; C's apply, tag friends for extra entries #competition #giveaway #win…  ",ns
LOOTCHEST PLUS FEBRUAR 2018 UNBOXING:  …   #lootchest #lootchestplus #unboxing #februar #gamer #loot #items #looten #blackpanther #marvel #wakanda #gameofthrones #got #assassinscreed #doctorwho #rickandmorty #raubtierbrause #cola #sweet #sweets #zombies ,ns
"Saturday is a good day to post some new photos on @unsplash, the beautiful Gaztelugaxe!  #photography #GameOfThrones ",ns
Game of Thrones Character Report. My primary character is Melisandre  #gameofthrones,ns
Meet up for casual play of the Game of Thrones living card game. Bring your own deck or just show up and we'll help you get started.  Sundays 2-5pm.  #austin #atx #GameOfThrones #AGoTLCG ,ns
"✔Check out ALL of my original gifs! Over 1000 in all! #GameOfThrones #LenaHeadey #Shame
       
↪  ↩ ",ns
My life is like.. Being on #Twitter and watching #GameOfThrones haha,ns
The worst part about 2018 is there won’t be #GameofThrones,ns
"I sent @V3spillus to the store for a single bottle of Chianti and he came back with Chianti, plus two of these #GameOfThrones #fuckyeah ",ns
So far @BBCOne @netflix #TroyFallOfACity making #GameofThrones look like Aeschylus.,ns
Tyrion ist mit??? #GoTbeiRTL2 #GoT #GameOfThrones,ns
"#BlackPanther had all the futurism and hope of a #StarWars. The intrigue and battles of #GameOfThrones. The heart and symbolism of a #Disney classic. And, of course, the humor and social allegory we've come to expect of the #Marvel standard. 

In short, it was everything.",ns
I’m on season 4 of Game of Thrones and I LOVE Tyrion! Easily my favourite character along with Daenerys!! #got #GameOfThrones,ns
